Код статті,Назва статті,"Коротка назва статті
"
8,Повернення коштів виконавцями  за укладеними договорам,
12,Помилкові надходження коштів на накопичувальний рахунок,
1110,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)",Агітаційні матеріали
1120,виготовлення відеозаписів,Агітаційні матеріали
1130,виготовлення аудіозаписів,Агітаційні матеріали
1140,виготовлення інших матеріалів передвиборної агітації,Агітаційні матеріали
1150,"придбання канцтоварів, паперу, інших предметів і матеріалів для виготовлення матеріалів передвиборної агітації",Агітаційні матеріали
1160,виготовлення (придбання) та встановлення агітаційних наметів,Агітаційні матеріали
1211,оплата ефірного часу на телебаченні,Використання ЗМІ
1212,оплата ефірного часу на радіо,Використання ЗМІ
1220,оплата друкованих площ у друкованих засобах масової інформації,Використання ЗМІ
1310,"транспортні послуги для реалізації заходів передвиборної агітації (перевезення матеріалів передвиборної агітації, технічних засобів та обладнання для ведення передвиборної агітації, а також інших матеріалів, пов’язаних з передвиборною агітацією)","Інші послуги (транспортні, оренда приміщення)"
1320,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації","Інші послуги (транспортні, оренда приміщення)"
1330,оренда обладнання та технічних засобів для ведення передвиборної агітації,"Інші послуги (транспортні, оренда приміщення)"
1340,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями,"Інші послуги (транспортні, оренда приміщення)"
1350,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)","Інші послуги (транспортні, оренда приміщення)"
1361,"послуги електричного зв’язку (телефонного, телеграфного, фототелеграфного, факсимільного, документального зв’язку, мереж та каналів передавання даних тощо)","Інші послуги (транспортні, оренда приміщення)"
1362,послуги поштового зв’язку,"Інші послуги (транспортні, оренда приміщення)"
1400,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)","Інші витрати (розповсюження друк. матеріалів, проведення заходів)"
2100,Повернення особам добровільних внесків,
3110,Перерахування внесків фізичних осіб до Державного бюджету,
5000,Повернення особам помилкових надходжень коштів,
